student_id,name,past_classes,requested_classes,grad_year,major_status
S0000,Sean Boyer,[CS140,CS51,CS62,CS101,CS54],[CS181DV,CS132],2025,Non-major
S0001,Randall Jones,[CS140,CS51,CS62,CS105,CS54],[],2027,Non-major
S1289,David Hodge,[CS62,CS54,CS51,CS140],[],2025,CS minor
S1290,Karen Morrow,[CS54,CS51,CS62,CS105],[CS122,CS133],2028,Non-major
S1291,James Sparks,[CS140,CS51,CS62,CS101,CS54],[],2026,Non-major
S1292,Lisa Humphrey,[CS140,CS51,CS62,CS105,CS54],[],2025,CS minor
S1293,Michelle Anderson,[CS101,CS54,CS51,CS62],[CS122],2028,CS major
S1294,Robert Wilson,[],[],2027,Non-major
S1295,Debra Sosa,[CS54,CS51,CS62,CS105],[CS132],2027,CS major
S1296,Michael Noble,[CS140,CS51,CS62,CS105,CS101,CS54],[],2025,CS major
S1297,Michelle Burns,[CS51,CS62,CS105,CS101,CS54],[CS138,CS132],2025,CS minor
S1298,Michael Sanchez,[CS62,CS54,CS51,CS140],[CS181AA,CS153],2028,CS minor
S1299,Stephanie Turner,[CS140,CS51,CS62,CS105,CS101,CS54],[],2026,CS minor
S1300,Kevin Gibson,[],[],2025,Non-major
S1301,Dr. Melissa Walton DDS,[CS51,CS62,CS105,CS101,CS54],[CS122],2028,CS minor
S1302,Lisa Carr,[CS101,CS54,CS51,CS62],[],2028,CS minor
S1303,Holly Kelley,[CS140,CS51,CS62,CS105,CS101,CS54],[],2026,CS major
S1304,Mrs. Carol Wood,[],[],2027,CS major
S1305,David Cruz,[CS62,CS54,CS51,CS140],[CS133],2028,CS major
S1306,Matthew Hardin,[CS140,CS51,CS62,CS101,CS54],[CS138,CS153],2026,CS major
S1307,Beth Evans,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181AA],2027,Non-major
S1308,Stacey Hodge,[CS51,CS62,CS105,CS101,CS54],[],2028,Non-major
S1309,Brittany Archer,[CS140,CS51,CS62,CS101,CS54],[CS105],2027,CS major
S1310,Roy Williams,[CS140,CS51,CS62,CS105,CS101,CS54],[],2026,Non-major
S1311,Jonathan Simpson,[CS101,CS54,CS51,CS62],[CS122],2025,CS minor
S1312,Logan Mcgrath,[CS54,CS51],[],2026,CS minor
S1313,Larry Dixon,[CS140,CS51,CS62,CS105,CS101,CS54],[CS158,CS122],2025,Non-major
S1314,Diana Esparza,[CS140,CS51,CS62,CS105,CS101,CS54],[CS158,CS181AA],2027,Non-major
S1315,Hannah Guzman,[],[CS132,CS140],2026,Non-major
S1316,Lisa Conrad,[CS51,CS62],[],2026,CS minor
S1317,Beverly Cabrera,[CS140,CS51,CS62,CS105,CS101,CS54],[CS133],2026,Non-major
S1318,Maria Maxwell,[CS140,CS51,CS62,CS105,CS101,CS54],[CS138,CS132],2028,Non-major
S1319,Stephen Prince,[CS140,CS51,CS62,CS101,CS54],[],2027,CS minor
S1320,Joseph Turner,[CS101,CS54,CS51,CS62],[CS181AA],2027,CS minor
S1321,Todd Moreno,[CS101,CS54,CS51,CS62],[],2028,Non-major
S1322,Christine Padilla,[CS54,CS51,CS62,CS140],[CS181DV],2025,CS minor
S1323,Jeffrey Hill,[CS51,CS62],[],2027,Non-major
S1324,Anthony Brady,[CS54,CS51,CS62,CS105],[],2025,CS minor
S1325,Megan Kennedy,[CS140,CS51,CS62,CS105,CS101,CS54],[CS101],2026,CS major
S1326,Alan Long,[CS62,CS54,CS51,CS140],[CS122,CS158],2025,CS major
S1327,Tom Small,[CS101,CS54,CS51,CS62],[CS181DV],2028,CS minor
S1328,Derrick Johnson,[CS140,CS51,CS62,CS105,CS101,CS54],[],2028,Non-major
S1329,Aaron Stevenson,[CS54,CS51,CS62,CS105],[CS132,CS181DV],2026,Non-major
S1330,Anthony Haney,[CS140,CS51,CS62,CS105,CS101,CS54],[],2027,CS major
S1331,Jason Riley,[CS54,CS51,CS62,CS140],[CS181DV,CS133],2028,Non-major
S1332,Johnny Young,[],[],2026,Non-major
S1333,Victor Fischer,[CS62,CS54,CS51,CS140],[],2027,CS minor
S1334,Kara Levy,[CS140,CS51,CS62,CS105,CS101,CS54],[],2026,CS minor
S1335,Jesus Butler,[],[CS122,CS105],2028,Non-major
S1336,Robert Ferguson,[CS51,CS62],[CS181DV,CS122],2027,CS minor
S1337,Kevin Wiggins,[CS140,CS51,CS62,CS105,CS101,CS54],[CS138],2026,CS minor
S1338,Cindy Bright,[CS101,CS54,CS51,CS62],[],2028,Non-major
S1339,Michelle Hood,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181AA,CS181DV],2026,Non-major
S1340,Shawna Gray,[CS140,CS51,CS62,CS105,CS54],[],2028,Non-major
S1341,Catherine Williams,[CS140,CS51,CS62,CS105,CS101,CS54],[],2028,CS major
S1342,Samantha Foster,[CS54,CS51,CS62],[],2027,CS minor
S1343,Christina Estrada,[CS140,CS51,CS62,CS105,CS101,CS54],[CS132],2025,CS major
S1344,Eric Collins,[CS140,CS51,CS62,CS101,CS54],[],2026,Non-major
S1345,James Taylor,[CS51],[],2026,Non-major
S1346,Angela Sutton,[],[CS140,CS101],2028,Non-major
S1347,Crystal Arnold,[CS140,CS51,CS62,CS105,CS101,CS54],[CS153,CS132],2026,CS minor
S1348,Bryan Garrison,[],[CS140],2027,CS minor
S1349,John Murphy,[CS51],[CS158,CS153],2027,CS major
S1350,Joseph Chandler,[],[CS181AA,CS101],2028,Non-major
S1351,Melissa Rodriguez,[CS54,CS51,CS62,CS105],[CS132,CS122],2026,Non-major
S1352,Eric Fowler,[],[],2028,CS minor
S1353,Pamela Friedman,[CS54,CS51,CS62,CS105],[],2027,CS major
S1354,John Williams,[CS140,CS51,CS62,CS105,CS101,CS54],[CS132],2028,CS major
S1355,Andrea Bass,[CS51,CS62,CS105,CS101,CS54],[CS181AA],2025,Non-major
S1356,Laurie Morgan,[],[],2026,CS major
S1357,Kendra Myers,[CS51],[CS181DV,CS153],2025,CS minor
S1358,Stacey Ellis,[CS101,CS54,CS51,CS62],[],2025,CS major
S1359,Tamara Henson,[CS140,CS51,CS62,CS105,CS54],[CS181DV,CS140],2026,Non-major
S1360,Kimberly Moran,[CS140,CS51,CS62,CS105,CS101,CS54],[CS132],2026,CS minor
S1361,Douglas Kennedy,[CS140,CS51,CS62,CS101,CS54],[],2027,CS major
S1362,Ryan Anderson,[CS140,CS51,CS62,CS105,CS101,CS54],[],2026,CS minor
S1363,Chad Freeman,[CS140,CS51,CS62,CS105,CS54],[CS132,CS158],2025,CS minor
S1364,Dawn Taylor,[CS62,CS54,CS51,CS140],[CS153,CS158],2027,CS major
S1365,Laura Hanson,[CS51,CS62,CS105,CS101,CS54],[CS132,CS105],2025,Non-major
S1366,Kevin Martin,[CS51,CS62],[CS122],2027,CS minor
S1367,Karina Shelton,[CS54,CS51,CS62,CS105],[CS153],2026,CS minor
S1368,Gilbert Smith,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181AA],2025,CS major
S1369,Shane Wood,[CS51,CS62,CS105,CS101,CS54],[CS132],2025,CS minor
S1370,Jennifer Holloway,[CS51,CS62,CS105,CS101,CS54],[],2028,Non-major
S1371,David Vang III,[CS140,CS51,CS62,CS105,CS101,CS54],[CS140],2026,CS minor
S1372,James Black,[],[CS181AA],2025,CS minor
S1373,Kelsey Austin,[CS140,CS51,CS62,CS105,CS101,CS54],[CS133,CS181DV],2027,CS minor
S1374,Karen Mason,[CS140,CS51,CS62,CS105,CS101,CS54],[CS105,CS132],2026,CS major
S1375,Devin Long,[CS140,CS51,CS62,CS101,CS54],[],2028,CS major
S1376,Steven Green,[],[],2028,CS minor
S1377,Brian Santos,[CS101,CS54,CS51,CS62],[CS122],2026,CS minor
S1378,Dean Fuentes,[CS140,CS51,CS62,CS105,CS101,CS54],[CS138,CS181DV],2026,CS major
S1379,Karen Blackwell,[],[CS140,CS105],2026,Non-major
S1380,Elizabeth Johnson,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181DV],2027,CS minor
S1381,Brenda Andrews,[CS51,CS62,CS105,CS101,CS54],[],2025,Non-major
S1382,Kristine Mathews,[CS54,CS51,CS62,CS105],[],2026,CS major
S1383,Juan Anderson,[CS140,CS51,CS62,CS105,CS101,CS54],[CS105],2028,CS minor
S1384,Shannon Snow,[CS54,CS51],[CS153],2025,CS major
S1385,Jessica Wright,[CS140,CS51,CS62,CS105,CS101,CS54],[],2027,Non-major
S1386,Vanessa Medina,[CS140,CS51,CS62,CS105,CS101,CS54],[],2028,Non-major
S1387,Anna Acosta,[CS54,CS51,CS62,CS105],[],2025,Non-major
S1388,Mark Mccarty,[CS140,CS51,CS62,CS105,CS54],[],2027,CS major
S1389,Kayla Chang,[],[CS181AA],2027,CS minor
S1390,Christian Ramirez,[CS140,CS51,CS62,CS101,CS54],[],2026,Non-major
S1391,Joshua Myers,[],[CS181AA,CS132],2026,Non-major
S1392,Sara Small,[CS51,CS62,CS105,CS101,CS54],[CS153,CS132],2027,CS minor
S1393,Tracy Arnold,[CS101,CS54,CS51,CS62],[],2026,Non-major
S1394,Erica Wright,[CS54,CS140,CS51,CS62],[CS101],2027,CS minor
S1395,Robert Ingram,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181AA],2026,CS minor
S1396,Sean Diaz,[CS140,CS51,CS62,CS105,CS54],[],2027,Non-major
S1397,Jessica White,[CS140,CS51,CS62,CS105,CS101,CS54],[],2028,CS minor
S1398,Christina Romero,[CS140,CS51,CS62,CS105,CS101,CS54],[CS153,CS122],2026,Non-major
S1399,Amanda Duffy,[CS54,CS51],[CS181AA,CS181DV],2028,CS minor
S1400,Laura Larson,[CS140,CS51,CS62,CS101,CS54],[CS181DV],2025,CS major
S1401,John Taylor,[],[],2026,Non-major
S1402,Lori Moyer,[CS140,CS51,CS62,CS105,CS101,CS54],[CS105],2026,Non-major
S1403,Matthew Williams,[CS140,CS51,CS62,CS105,CS101,CS54],[],2027,CS major
S1404,Brittney Richardson,[],[CS101],2026,CS major
S1405,Philip Smith,[CS140,CS51,CS62,CS105,CS101,CS54],[],2028,CS minor
S1406,Rhonda Bridges,[CS140,CS51,CS62,CS105,CS101,CS54],[],2026,Non-major
S1407,Timothy Wallace,[CS140,CS51,CS62,CS105,CS101,CS54],[CS140],2028,CS major
S1408,Dakota Taylor,[CS140,CS51,CS62,CS105,CS54],[CS132],2027,CS minor
S1409,Barbara Rich,[CS62,CS54,CS51,CS140],[],2027,Non-major
S1410,Keith Garcia,[CS140,CS51,CS62,CS105,CS101,CS54],[CS138,CS158],2026,Non-major
S1411,Benjamin Torres,[CS140,CS51,CS62,CS105,CS54],[CS132,CS138],2028,CS major
S1412,Heather Patterson,[CS54,CS51],[CS122,CS105],2026,CS minor
S1413,Jennifer Salazar,[],[],2026,Non-major
S1414,Mark Hawkins,[CS54,CS51,CS62,CS105],[],2028,CS major
S1415,Christopher Moore,[CS140,CS51,CS62,CS105,CS54],[CS132],2028,CS minor
S1416,Heidi Romero,[CS51,CS62,CS105,CS101,CS54],[],2026,Non-major
S1417,William Phillips,[CS140,CS51,CS62,CS105,CS54],[CS181AA],2026,CS major
S1418,Chelsea Murphy,[CS62,CS54,CS51,CS140],[CS158,CS133],2028,Non-major
S1419,Jesse Paul,[],[CS158,CS133],2025,CS minor
S1420,William Shepherd,[],[],2026,CS major
S1421,Jeremy Murphy,[CS140,CS51,CS62,CS105,CS54],[],2026,CS minor
S1422,Edward Murray,[CS140,CS51,CS62,CS105,CS101,CS54],[],2026,CS major
S1423,Vanessa Saunders,[CS140,CS51,CS62,CS105,CS101,CS54],[CS133],2027,CS major
S1424,Robert Bennett,[CS140,CS51,CS62,CS105,CS54],[],2025,CS minor
S1425,Justin Brown,[CS51,CS62],[CS140,CS181DV],2028,CS minor
S1426,Todd Garcia,[CS140,CS51,CS62,CS101,CS54],[CS181DV],2028,CS major
S1427,Samuel Mueller,[CS140,CS51,CS62,CS101,CS54],[],2027,Non-major
S1428,Joseph Obrien,[CS140,CS51,CS62,CS105,CS54],[CS138,CS133],2027,CS minor
S1429,Frank Taylor,[CS101,CS54,CS51,CS62],[CS153,CS140],2025,CS minor
S1430,Michele Hall,[CS54,CS51,CS62],[CS181DV],2025,Non-major
S1431,Timothy Garcia,[CS140,CS51,CS62,CS105,CS101,CS54],[CS101,CS138],2027,CS minor
S1432,Teresa Mcgee,[CS140,CS51,CS62,CS105,CS101,CS54],[],2025,Non-major
S1433,Stephanie Love,[CS140,CS51,CS62,CS105,CS101,CS54],[CS132,CS181DV],2025,Non-major
S1434,Ernest Nelson,[CS140,CS51,CS62,CS105,CS54],[CS132],2027,Non-major
S1435,David Hess,[CS140,CS51,CS62,CS105,CS101,CS54],[CS158,CS181AA],2025,CS minor
S1436,Nichole Berg,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181DV,CS105],2027,CS minor
S1437,Steven Lee,[CS54,CS51,CS62,CS105],[],2026,CS major
S1438,Jennifer Long,[CS54,CS140,CS51,CS62],[CS181AA,CS132],2026,Non-major
S1439,Jessica Woods,[CS51,CS62,CS105,CS101,CS54],[CS132,CS181DV],2028,CS minor
S1440,James Welch,[CS140,CS51,CS62,CS101,CS54],[CS153],2027,CS minor
S1441,Kendra White,[CS54,CS51,CS62,CS105],[],2025,CS minor
S1442,Adam Montgomery,[CS51,CS62],[],2026,CS major
S1443,Aaron Thomas,[],[CS133],2027,CS minor
S1444,Kenneth Johnson,[],[CS101,CS138],2028,Non-major
S1445,Richard Fox,[CS140,CS51,CS62,CS101,CS54],[CS101],2025,Non-major
S1446,John Flores,[CS51,CS62,CS105,CS101,CS54],[],2028,CS minor
S1447,Mrs. Sarah Rodriguez DDS,[CS140,CS51,CS62,CS105,CS101,CS54],[CS153,CS132],2026,CS minor
S1448,Haley Bauer,[CS62,CS54,CS51,CS140],[CS101],2025,CS major
S1449,Ashley Wood,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181AA],2025,CS minor
S1450,Whitney Carrillo,[CS140,CS51,CS62,CS105,CS101,CS54],[CS101,CS132],2028,CS minor
S1451,Gabriella Brown,[CS62,CS54,CS51,CS140],[],2026,CS major
S1452,Mark Salinas,[CS101,CS54,CS51,CS62],[CS132],2026,Non-major
S1453,Alexis Sims,[CS101,CS54,CS51,CS62],[CS132,CS105],2028,CS major
S1454,Cindy Higgins,[CS140,CS51,CS62,CS101,CS54],[],2025,CS major
S1455,Mary Smith,[CS140,CS51,CS62,CS105,CS101,CS54],[CS122,CS138],2028,CS minor
S1456,Derek Banks,[CS140,CS51,CS62,CS105,CS101,CS54],[],2026,CS minor
S1457,Eric Martinez,[CS51,CS62,CS105,CS101,CS54],[CS122,CS133],2028,CS minor
S1458,Benjamin Matthews,[CS140,CS51,CS62,CS105,CS101,CS54],[CS138],2025,CS major
S1459,Veronica Rodriguez,[CS101,CS54,CS51,CS62],[CS138],2025,Non-major
S1460,Billy Nixon,[],[],2028,CS major
S1461,Andrew Robinson,[CS140,CS51,CS62,CS105,CS101,CS54],[],2027,CS minor
S1462,Renee Kelly,[CS62,CS54,CS51,CS140],[],2026,CS minor
S1463,Kurt Bradley,[CS51,CS62,CS105,CS101,CS54],[CS153,CS101],2026,CS major
S1464,Donald Leonard,[CS51,CS62,CS105,CS101,CS54],[CS105,CS140],2027,CS minor
S1465,Michael Jackson,[CS140,CS51,CS62,CS105,CS101,CS54],[CS133],2027,Non-major
S1466,Pamela Griffin,[CS101,CS54,CS51,CS62],[],2028,CS minor
S1467,Jennifer Espinoza,[CS140,CS51,CS62,CS105,CS101,CS54],[CS138],2025,CS minor
S1468,Michael Banks,[CS51,CS62],[],2028,Non-major
S1469,Jason Ray,[CS140,CS51,CS62,CS105,CS101,CS54],[CS140,CS101],2028,CS major
S1470,Justin Reyes,[CS54,CS51,CS62],[CS122,CS181DV],2026,CS minor
S1471,John Cook,[CS140,CS51,CS62,CS105,CS101,CS54],[CS101],2025,CS major
S1472,Amanda Graves,[CS62,CS54,CS51,CS140],[CS140],2026,Non-major
S1473,Lindsey Galloway DDS,[CS54,CS51,CS62,CS105],[],2026,Non-major
S1474,Hannah Garner,[CS140,CS51,CS62,CS105,CS54],[CS101],2026,CS minor
S1475,Laura Adams,[CS54,CS140,CS51,CS62],[],2028,CS major
S1476,David Fisher,[CS140,CS51,CS62,CS105,CS101,CS54],[],2025,Non-major
S1477,Julie Martin,[CS54,CS51,CS62],[CS133,CS140],2027,Non-major
S1478,Lori Clark,[CS51,CS62,CS105,CS101,CS54],[],2026,Non-major
S1479,Michael Chandler,[CS54,CS51,CS62,CS105],[],2027,CS major
S1480,John Evans,[CS140,CS51,CS62,CS105,CS54],[],2025,CS major
S1481,Donald Payne,[CS140,CS51,CS62,CS105,CS101,CS54],[CS140],2028,CS major
S1482,Alexa Johnson,[CS51,CS62,CS105,CS101,CS54],[CS138],2026,CS minor
S1483,Tammy Khan,[CS140,CS51,CS62,CS105,CS101,CS54],[CS153],2028,CS major
S1484,Wendy Jackson,[CS54,CS51,CS62,CS105],[CS101,CS181AA],2028,CS minor
S1485,Matthew Clayton,[CS51,CS62],[],2027,CS minor
S1486,Andres Zavala,[CS140,CS51,CS62,CS105,CS101,CS54],[CS105,CS181AA],2027,CS major
S1487,Michael Porter,[CS101,CS54,CS51,CS62],[CS132,CS140],2028,Non-major
S1488,Matthew Myers,[CS51,CS62,CS105,CS101,CS54],[],2027,CS major
S1489,Jennifer Frederick,[CS140,CS51,CS62,CS101,CS54],[CS181AA,CS181DV],2028,CS major
S1490,Justin Andersen,[CS140,CS51,CS62,CS105,CS101,CS54],[CS158,CS138],2025,CS major
S1491,Mr. Matthew Bean,[CS62,CS54,CS51,CS140],[CS153,CS181AA],2025,CS minor
S1492,Joanne Davis,[CS51,CS62,CS105,CS101,CS54],[],2027,Non-major
S1493,Toni Gray,[CS51,CS62,CS105,CS101,CS54],[CS153],2026,Non-major
S1494,Dale Waters,[CS54,CS51,CS62,CS105],[CS153],2025,Non-major
S1495,Stephen Williams,[CS101,CS54,CS51,CS62],[CS138],2028,CS minor
S1496,Dr. Jennifer Clayton,[CS51,CS62,CS105,CS101,CS54],[],2025,CS minor
S1497,James Burke,[CS140,CS51,CS62,CS105,CS101,CS54],[CS138],2028,CS major
S1498,David Huber,[],[CS132],2025,CS major
S1499,Michele Woods,[CS54,CS51,CS62,CS105],[CS132,CS133],2028,CS major
